1,26,http://www.awn.com,18
2,1,http://animation.about.com/,35
3,21,http://www.toonhound.com,9
4,37,http://www.geocities.com/d-patanella/,50
5,49,http://enculturation.gmu.edu/2_1/pisters.html,19
6,50,http://www.digitalmediafx.com/features/animationhistory.html,20
7,11,http://www-viz.tamu.edu/courses/viza615/97spring/pjames/history/main.html,36
8,40,http://www.spark-online.com/august00/media/romano.html,21
9,9,http://www.animated-divots.com/,25
10,46,http://www.angelfire.com/anime2/ninisbishonen/,2
11,2,http://www.geocities.com/gregyboy85/,44
12,29,http://www.angelfire.com/anime2/bestanimecharacters/,34
13,36,http://valleyofazure.tripod.com/,41
14,33,http://mousygirl.nekomusume.net/,25
15,23,http://www.angelfire.com/nv/neko/,2
16,13,http://www.geocities.com/sushilli/,37
17,19,http://www.geocities.com/glaciusequus/atpda/angelistenent.html,22
18,17,http://www.geocities.com/neko_musuko2001/index.html,18
19,12,http://www.geocities.com/animehenshu/,43
20,44,http://www.geocities.com/eagleyanagiba/,27
21,42,http://www.angelfire.com/grrl/magicshoppe2/,19
22,25,http://shotani.www2.50megs.com/animen_uno.html,7
23,18,http://www.utarpa.org/,46
24,10,http://www.fortunecity.com/campus/geography/880/,8
25,6,http://www.angelfire.com/yt/ahsaa/,34
26,4,http://spirit.dos.uci.edu/cae/cae.html,40
27,48,http://anime-alberta.org/,18
28,32,http://ranma.anime.ru/english.htm,25
29,5,http://www.yale.edu/anime/,31
30,27,http://www.nnanime.com/,31
31,15,http://www.fcac.com/,37
32,34,http://www.unc.edu/coup/,11
33,45,http://www.geocities.com/nccotaku/,33
34,35,http://www.ocf.berkeley.edu/~animage/,5
35,8,http://web.mit.edu/anime/www/,19
36,3,http://www.earlham.edu/~anime/,10
37,47,http://www.geocities.com/animeaddicts/,33
38,24,http://cyberbuzz.gatech.edu/anime/,39
39,20,http://animetribe.xi.co.nz/,22
40,22,http://uranime.nekomusume.net/,36
41,28,http://www.geocities.com/ncanimeclub/,10
42,30,http://www.ic.sunysb.edu/clubs/anime/,9
43,38,http://carleton.ottawa-anime.org/,32
44,31,http://soap.ottawa-anime.org/,26
45,41,http://www.geocities.com/uschs_animemanga/home.html,8
46,39,http://www.jaco.org/,24
47,7,http://www.orgs.ttu.edu/muepsilonkappa/,34
48,43,http://www.yorku.ca/anime/,3
49,14,http://www.emeraldtokyo.com/,43
50,16,http://www.novaanime.org/,49
